ticket_number,issued_date,location,ward,violation_code,violation_description,fine,ticket_queue,is_warning,registrant_type,registrant,registrant_normalized
8000000554,2024-11-06 09:05:20,131 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ROLLING FRITO LAY SALES LP,ROLLING FRITO LAY SALES
8000000555,2024-11-06 09:05:28,131 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,PENSKE LEASING & RENTAL CO,PENSKE LEASING RENTAL
8000000556,2024-11-06 09:02:39,151 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000557,2024-11-06 09:07:10,33 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FEDERAL EXPRESS,FEDERAL EXPRESS
8000000559,2024-11-06 09:15:54,1431 W LAKE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,PARTNERS CONSTRUCTION,PARTNERS CONSTRUCTION
8000000560,2024-11-06 09:20:01,18 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000561,2024-11-06 09:20:25,43 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000562,2024-11-06 09:22:25,58 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000563,2024-11-06 09:22:47,30 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000564,2024-11-06 09:23:54,1023 W LAKE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000565,2024-11-06 09:23:55,1021 W LAKE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,CLEARSTORY GLASS INC,CLEARSTORY GLASS
8000000566,2024-11-06 09:22:53,20 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000567,2024-11-06 09:23:08,6 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000569,2024-11-06 09:22:24,58 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000570,2024-11-06 09:22:49,30 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,WE DRIVE U LEASING INC,WE DRIVE U LEASING
8000000571,2024-11-06 09:22:50,30 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000572,2024-11-06 09:23:06,1 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000573,2024-11-06 09:25:30,310 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000574,2024-11-06 09:26:49,434 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000575,2024-11-06 09:27:01,470 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ENTERPRISE FM TRUST,ENTERPRISE FM
8000000577,2024-11-06 09:26:59,460 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000578,2024-11-06 09:29:17,460 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,T H RYAN CARTAGE COMPANY,T H RYAN CARTAGE
8000000580,2024-11-06 09:29:42,415 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ST JOSEPH CONSTRUCTION INC,ST JOSEPH CONSTRUCTION
8000000581,2024-11-06 09:38:22,1725 W HARRISON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000582,2024-11-06 09:38:23,1725 W HARRISON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000583,2024-11-06 09:41:19,600 S LOOMIS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,LARIOS TRANSPORT SERVICES INC,LARIOS TRANSPORT SERVICES
8000000584,2024-11-06 09:44:43,131 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000585,2024-11-06 09:46:23,40 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE
8000000586,2024-11-06 09:48:36,915 S LOOMIS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000587,2024-11-06 09:55:02,69 W WASHINGTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000588,2024-11-06 09:59:54,1439 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ENTERPRISE FM TRUST,ENTERPRISE FM
8000000589,2024-11-06 10:00:55,18 E ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000590,2024-11-06 10:02:39,1025 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000591,2024-11-06 10:03:35,158 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000592,2024-11-06 10:03:59,222 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,TOYOTA LEASE TRUST LSR,TOYOTA LEASE
8000000593,2024-11-06 10:04:38,300 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000594,2024-11-06 10:04:41,300 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000595,2024-11-06 10:03:32,151 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000596,2024-11-06 10:06:06,367 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000597,2024-11-06 10:04:44,300 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FEDERAL EXPRESS,FEDERAL EXPRESS
8000000598,2024-11-06 10:06:09,367 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,EAN HOLDINGS LLC,EAN HOLDINGS
8000000599,2024-11-06 10:10:25,1200 W ROOSEVELT RD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000600,2024-11-06 10:13:17,1501 W ROOSEVELT RD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000601,2024-11-06 10:22:09,611 W ROOSEVELT RD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FLEET LEASING LLC LSR,FLEET LEASING
8000000602,2024-11-06 10:24:55,1145 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000603,2024-11-06 10:25:04,1101 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000604,2024-11-06 10:25:18,1009 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000605,2024-11-06 10:26:50,825 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000606,2024-11-06 10:27:24,701 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,MIDWEST IMPORTS LTD,MIDWEST IMPORTS
8000000607,2024-11-06 10:24:33,916 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000608,2024-11-06 10:24:19,62 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000609,2024-11-06 10:24:39,48 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000610,2024-11-06 10:29:17,212 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,GREEN WEB RIVER DEVELOPMENT,GREEN WEB RIVER DEVELOPMENT
8000000611,2024-11-06 10:29:18,212 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000612,2024-11-06 10:29:19,212 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000613,2024-11-06 10:29:23,218 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,CANT BELIVE ITS NOT MEAT II INC,CANT BELIVE ITS NOT MEAT II
8000000614,2024-11-06 10:34:12,826 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000615,2024-11-06 10:34:13,826 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000616,2024-11-06 10:38:33,1051 W HARRISON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000617,2024-11-06 10:44:45,97 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000618,2024-11-06 10:44:51,104 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000619,2024-11-06 10:44:55,106 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000620,2024-11-06 10:44:57,110 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000621,2024-11-06 10:45:27,716 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000622,2024-11-06 10:45:02,112 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,EAN HOLDINGS LLC,EAN HOLDINGS
8000000623,2024-11-06 10:45:03,114 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000624,2024-11-06 11:00:38,115 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ROLLING FRITO LAY SALES LP,ROLLING FRITO LAY SALES
8000000625,2024-11-06 10:44:42,555 W ROOSEVELT RD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000626,2024-11-06 11:22:12,1436 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,DOOR SERVICE INC,DOOR SERVICE
8000000627,2024-11-06 11:16:57,116 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000628,2024-11-06 11:18:27,200 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000629,2024-11-06 11:22:00,1417 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000630,2024-11-06 11:16:54,110 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ALLTOWN BUS SERVICES INC,ALLTOWN BUS SERVICES
8000000631,2024-11-06 11:25:16,1429 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000632,2024-11-06 11:25:18,1421 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000633,2024-11-06 11:25:19,1421 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000635,2024-11-06 11:31:33,1410 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000636,2024-11-06 11:31:45,1424 W TAYLOR ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000638,2024-11-06 11:35:01,1550 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000640,2024-11-06 11:37:38,1504 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,RYDER TRUCK RENTAL LT 297336,RYDER TRUCK RENTAL
8000000641,2024-11-06 11:40:38,1312 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000642,2024-11-06 11:38:51,1100 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000643,2024-11-06 11:40:50,1260 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE
8000000644,2024-11-06 11:45:59,814 N WELLS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,TRANS ONE INCORPORATED,TRANS ONE
8000000645,2024-11-06 11:55:40,1421 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000647,2024-11-06 11:55:56,1349 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000648,2024-11-06 11:55:58,1347 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000649,2024-11-06 12:08:08,13 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000650,2024-11-06 12:08:11,13 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,AMAZON LOGISTICS INC,AMAZON LOGISTICS
8000000651,2024-11-06 12:08:21,33 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000652,2024-11-06 12:09:24,101 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000653,2024-11-06 12:09:27,101 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000656,2024-11-06 12:09:31,110 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,EAN HOLDINGS LLC,EAN HOLDINGS
8000000657,2024-11-06 12:19:02,1016 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,ABT ELECTRONICS INC,ABT ELECTRONICS
8000000658,2024-11-06 12:21:17,1245 N DEARBORN PKWY,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000659,2024-11-06 12:22:19,1335 N DEARBORN PKWY,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,GLOBAX LIMO INC LSR,GLOBAX LIMO
8000000660,2024-11-06 12:23:09,1400 N DEARBORN PKWY,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE
8000000663,2024-11-06 13:12:41,1017 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,WORTH LOGISTICS & MESSENGER SERVI,WORTH LOGISTICS MESSENGER SERVI
8000000664,2024-11-06 13:14:15,913 W WASHINGTON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000665,2024-11-06 13:22:31,111 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000666,2024-11-06 13:22:32,111 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000667,2024-11-06 13:22:34,121 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000668,2024-11-06 13:22:37,121 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000669,2024-11-06 13:23:09,150 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000671,2024-11-06 13:23:14,150 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000672,2024-11-06 13:30:10,1 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000674,2024-11-06 13:30:23,33 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,UNITED PARCEL SERVICE INC,UNITED PARCEL SERVICE
8000000675,2024-11-06 13:31:33,116 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000676,2024-11-06 13:31:34,118 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000677,2024-11-06 13:31:39,126 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000678,2024-11-06 13:34:17,150 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000679,2024-11-06 13:37:15,2 N CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000680,2024-11-06 13:37:42,115 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000681,2024-11-06 13:37:45,115 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000683,2024-11-06 13:39:40,444 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000685,2024-11-06 13:37:40,115 S CLINTON ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FC3 TRANSPORT INC,FC3 TRANSPORT
8000000686,2024-11-06 13:39:46,444 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FEDEX OFFICE AND PRINT SERVICES INC,FEDEX OFFICE AND PRINT SERVICES
8000000687,2024-11-06 13:43:25,606 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000688,2024-11-06 13:43:28,612 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FLOORMAXX INC,FLOORMAXX
8000000689,2024-11-06 13:45:06,111 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000690,2024-11-06 13:46:11,1100 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000691,2024-11-06 13:46:12,1100 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000692,2024-11-06 13:46:25,19 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,CAB WEST LLC LSR,CAB WEST
8000000693,2024-11-06 13:46:20,1122 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000694,2024-11-06 13:46:23,21 W JACKSON BLVD,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000695,2024-11-06 13:48:54,30 E ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000696,2024-11-06 13:48:56,30 E ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000698,2024-11-06 13:49:14,24 E ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000700,2024-11-06 13:51:59,158 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000702,2024-11-06 13:51:56,158 W ADAMS ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,LUCKY LIVERY INC,LUCKY LIVERY
8000000703,2024-11-06 13:52:04,112 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000704,2024-11-06 13:52:06,118 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000705,2024-11-06 13:49:10,28 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,TRANS ONE INCORPORATED,TRANS ONE
8000000706,2024-11-06 13:52:02,108 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000712,2024-11-06 14:08:46,169 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000713,2024-11-06 14:09:21,111 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,unknown,,
8000000715,2024-11-06 14:10:12,1111 S WABASH AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000716,2024-11-06 14:22:35,108 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,THE HERTZ CORPORATION,HERTZ
8000000717,2024-11-06 14:22:45,431 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000718,2024-11-06 14:22:53,417 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,LOOMIS ARMORED US LLC,LOOMIS ARMORED US
8000000719,2024-11-06 14:29:01,108 W KINZIE ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000720,2024-11-06 14:22:55,417 S DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,LOOMIS ARMORED US INC,LOOMIS ARMORED US
8000000721,2024-11-06 14:31:37,33 N DEARBORN ST,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,FEDERAL EXPRESS,FEDERAL EXPRESS
8000000723,2024-11-07 07:19:35,18 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000724,2024-11-07 07:20:37,19 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000725,2024-11-07 07:21:38,6 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000726,2024-11-07 07:29:20,319 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000727,2024-11-07 07:29:37,225 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000728,2024-11-07 07:29:38,225 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000732,2024-11-07 07:32:21,45 E CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,individual,,
8000000735,2024-11-07 07:22:24,115 W CHICAGO AVE,,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,true,business,HYBRID CARS INC LSR,HYBRID CARS
